,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
113,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableDeclaration,equals#QObject,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
114,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableDeclaration,extractType#Qorg.eclipse.jdt.core.dom.VariableDeclaration,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
115,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableDeclaration,hashCode#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
116,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableDeclaration,toQualifiedString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
117,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableDeclaration,toString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
118,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReferenceExtractor,findReferences#QVariableDeclaration;QVariableDeclaration;QSetQAbstractCodeMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
119,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,allConsistentRenames#QMapQReplacementQSetQAbstractCodeMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
120,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,fieldAssignmentToPreviouslyExistingAttribute#QSetQAbstractCodeMapping,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD",2,"EXTRACT_METHOD,EXTRACT_METHOD",2
121,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,fieldAssignmentWithPreviouslyExistingParameter#QSetQAbstractCodeMapping,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD",2,"EXTRACT_METHOD,EXTRACT_METHOD",2
122,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findAttributeExtractions#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
123,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findConsistentVariableRenames#,ExtractMethod,"EXTRACT_METHOD,PARAMETERIZE_VARIABLE,EXTRACT_METHOD",3,"EXTRACT_METHOD,EXTRACT_METHOD",2
124,RefactoringMiner,gr.uom.java.xmi.decomposition,VariableReplacementAnalysis,findParametersWrappedInLocalVariables#,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD,PARAMETERIZE_VARIABLE",3,"EXTRACT_METHOD,EXTRACT_METHOD",2
