project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,getMetrics#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,isInstrumentationEnabled#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,registerWeakJobCatalogListener#QJobCatalogListener,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,startUp#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,CachingJobCatalog,switchMetricContext#QListQTag,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,FSJobCatalog,getInjectedExtension#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,FSJobCatalog,shouldLoadGlobalConf#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,FSPathAlterationListenerAdaptor,onFileChange#QPath,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,FSPathAlterationListenerAdaptor,onFileCreate#QPath,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,ImmutableFSJobCatalog,getInjectedExtension#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,ImmutableFSJobCatalog,shouldLoadGlobalConf#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,getJobSpecsWithTimeUpdate#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,getMetricContext#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,getMetrics#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,notifyAllListeners#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,startUp#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
gobblin-runtime,org.apache.gobblin.runtime.job_catalog,JobCatalogBase,switchMetricContext#QListQTag,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
